formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
18	C12H23NO7S	[M + Na]+	C12H23NNaO7S+	Amino acids and Peptides	0.197	Small peptides	0.539	Aminoacids	0.539	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.993	Amino acids and derivatives	0.993	Alpha amino acids and derivatives	0.988	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Benzenesulfonamides; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organosulfonamides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	348.108	158	592790083201804337	592789454882449735	777
14	C14H23NO10	[M - H2O + H]+	C14H22NO9+	Carbohydrates	0.558	Polyols	0.338	Amino cyclitols	0.227	Organic acids and derivatives	0.327	Carboxylic acids and derivatives	0.430	Amino acids, peptides, and analogues	0.584	Amino acids and derivatives	0.584	Amino acids	0.701	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Benzenoids; Amines; Primary amines; Alkanolamines; Aralkylamines; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	348.126	470	592791044737648886	592789454945364300	778
14	C16H22N6O2	[M + H3N + H]+	C16H26N7O2+	Alkaloids	0.770	Pseudoalkaloids (transamidation)	0.640	Purine alkaloids	0.344	Benzenoids	0.787	Benzene and substituted derivatives	0.687					Benzene and substituted derivatives	0.687	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	348.217	415	592790756878367315	592789455004084561	779
4	C21H30OS	[M + H3N + H]+	C21H34NOS+	Terpenoids	0.742	Steroids	0.231	Androstane steroids	0.263	Benzenoids	0.787	Phenols	0.555					Phenols	0.555	Organic compounds; Organosulfur compounds; Phenols; Organooxygen compounds; Thioethers; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	348.235	479	592791118926499525	592789455062804822	780
19	C15H34N5O2P	[M + H]+	C15H35N5O2P+	Alkaloids	0.482	Pseudoalkaloids (transamidation)	0.299	Purine alkaloids	0.054	Organoheterocyclic compounds	0.977	Diazines	0.443	Pyrimidines and pyrimidine derivatives	0.480	Aminopyrimidines and derivatives	0.583	Aminopyrimidines and derivatives	0.583	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Azoles; Aminopyrimidines and derivatives; N-substituted imidazoles; Amines; Primary amines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	348.253	462	592791058247502366	592789455125719387	781
1	C18H30O5	[M + Na]+	C18H30NaO5+	Fatty acids	0.414	Cyclic polyketides	0.369	3-Spirotetramic acids	0.800	Lipids and lipid-like molecules	0.859	Fatty Acyls	0.825	Fatty acid esters	0.641	Fatty acid methyl esters	0.581	Fatty acid methyl esters	0.581	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty acid methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	349.199	550	592791486695662214	592789455192828256	782
12	C15H24N8O2	[M + H]+	C15H25N8O2+	Amino acids and Peptides	0.582	Small peptides	0.497	Dipeptides	0.112	Organic acids and derivatives	0.981	Carboxylic acids and derivatives	0.957	Amino acids, peptides, and analogues	0.714	Amino acids and derivatives	0.711	Amino acids and derivatives	0.711	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.212	347	592790433468160658	592789455251548517	783
14	C15H21N7O2	[M + H3N + H]+	C15H25N8O2+	Alkaloids	0.493	Pseudoalkaloids (transamidation)	0.313	Purine alkaloids	0.472	Organoheterocyclic compounds	0.991	Diazines	0.608					Diazines	0.608	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Diazines; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.212	302	592790169692559868	592789455314463082	784
3	C23H28N2O	[M + H]+	C23H29N2O+	Alkaloids	0.780	Tryptophan alkaloids	0.968	Simple indole alkaloids	0.576	Organoheterocyclic compounds	0.986	Indoles and derivatives	0.986	Indoles	0.991	3-alkylindoles	0.988	3-alkylindoles	0.988	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.227	428	592790926579909854	592789455440292212	786
18	C22H25N3	[M + H3N + H]+	C22H29N4+	Alkaloids	0.803	Pseudoalkaloids (transamidation)	0.211	Tricyclic guanidine alkaloids	0.047	Benzenoids	0.675							Benzenoids	0.675	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Benzenoids; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	349.237	554	592791511081345867	592789455507401081	787
24	C22H28N4	[M + H]+	C22H29N4+	Alkaloids	0.577	Pseudoalkaloids (transamidation)	0.187	Purine alkaloids	0.152	Organoheterocyclic compounds	0.933	Diazines	0.761	Pyrimidines and pyrimidine derivatives	0.718	Aminopyrimidines and derivatives	0.602	Aminopyrimidines and derivatives	0.602	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	349.238	543	592791437269982871	592789455591287166	788
18	C22H25N3	[M + H3N + H]+	C22H29N4+	Alkaloids	0.796	Pseudoalkaloids (transamidation)	0.202	Tricyclic guanidine alkaloids	0.050	Benzenoids	0.672							Benzenoids	0.672	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Benzenoids; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	349.237	511	592791239214946147	592789455666784643	789
17	C17H25N5O2	[M + H3N + H]+	C17H29N6O2+	Terpenoids	0.215	Sesquiterpenoids	0.089	Menthane monoterpenoids	0.020	Organoheterocyclic compounds	0.971	Azoles	0.972	Tetrazoles	0.873			Tetrazoles	0.873	Organic compounds; Organoheterocyclic compounds; Tetrazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.238	500	592791227575752441	592789455733893512	790
24	C22H28N4	[M + H]+	C22H29N4+	Alkaloids	0.623	Pseudoalkaloids (transamidation)	0.249	Purine alkaloids	0.164	Organoheterocyclic compounds	0.934	Diazines	0.711	Pyrimidines and pyrimidine derivatives	0.659	Aminopyrimidines and derivatives	0.514	Aminopyrimidines and derivatives	0.514	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	349.238	624	592792000900562314	592789455796808077	791
17	C18H32N6O	[M + H]+	C18H33N6O+	Alkaloids	0.456	Pseudoalkaloids (transamidation)	0.198	Purine alkaloids	0.051	Organoheterocyclic compounds	0.990	Triazines	0.362	Aminotriazines	0.509			Aminotriazines	0.509	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aminotriazines; Amines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.274	653	592792259823340081	592789455859722642	793
20	C18H29N5O	[M + H3N + H]+	C18H33N6O+	Terpenoids	0.502	Sesquiterpenoids	0.119	Menthane monoterpenoids	0.015	Lipids and lipid-like molecules	0.606	Prenol lipids	0.527					Prenol lipids	0.527	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Tetrazoles; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.274	563	592791592383735390	592789455922637207	794
15	C18H29N5O	[M + H3N + H]+	C18H33N6O+	Terpenoids	0.312	Sesquiterpenoids	0.052	Menthane monoterpenoids	0.015	Organoheterocyclic compounds	0.991	Azoles	0.968	Tetrazoles	0.975			Tetrazoles	0.975	Organic compounds; Organoheterocyclic compounds; Tetrazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.274	649	592792438093844247	592789455981357468	795
19	C18H29N5O	[M + H3N + H]+	C18H33N6O+	Alkaloids	0.914	Pseudoalkaloids (transamidation)	0.332	Purine alkaloids	0.134	Organoheterocyclic compounds	0.987	Diazines	0.557					Diazines	0.557	Organic compounds; Organoheterocyclic compounds; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Diazines; Carbonyl compounds; Amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.274	682	592793016064746015	592789456056854945	796
18	C26H20	[M + H3N + H]+	C26H24N+	Terpenoids	0.082	Carotenoids (C40)	0.024	Bisnaphthalenes	0.034	Benzenoids	0.999	Phenanthrenes and derivatives	0.747					Phenanthrenes and derivatives	0.747	Organic compounds; Phenanthrenes and derivatives; Benzenoids; Hydrocarbons; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	350.190	699	592793056145515423	592789456115575206	797
17	C13H25N4O4P	[M + H3N + H]+	C13H29N5O4P+	Carbohydrates	0.658	Nucleosides	0.773	Purine nucleosides	0.292	Organoheterocyclic compounds	0.987	Imidazopyrimidines	0.983	Purines and purine derivatives	0.980	6-aminopurines	0.883	6-aminopurines	0.883	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	350.196	356	592790455664418789	592789456178489771	798
16	C15H25N7O4	[M - H2O + H]+	C15H24N7O3+	Amino acids and Peptides	0.547	Small peptides	0.381	Purine nucleosides	0.101	Organoheterocyclic compounds	0.965	Diazines	0.775	Pyrimidines and pyrimidine derivatives	0.734	Aminopyrimidines and derivatives	0.723	Aminopyrimidines and derivatives	0.723	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Primary amines; Organic 1,3-dipolar compounds; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	350.196	355	592790456041906426	592789456241404336	799
22	C20H23N5O	[M + H]+	C20H24N5O+	Alkaloids	0.817	Nicotinic acid alkaloids	0.040	Pyridine alkaloids	0.041	Benzenoids	0.920	Benzene and substituted derivatives	0.852					Benzene and substituted derivatives	0.852	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	350.196	368	592790497758458667	592789456304318901	800
27	C14H29N4OPS	[M + H3N + H]+	C14H33N5OPS+	Alkaloids	0.479	Pseudoalkaloids (transamidation)	0.069	Imidazole alkaloids	0.034	Organoheterocyclic compounds	0.847	Azacyclic compounds	0.872					Azacyclic compounds	0.872	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	350.215	399	592790523083666823	592789456358844858	801
1	C24H33NO2	[M - H2O + H]+	C24H32NO+	Alkaloids	0.786	Pseudoalkaloids (transamidation)	0.795	Piperidine alkaloids	0.450	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.943	Aralkylamines	0.799	Aralkylamines	0.799	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Alkanolamines; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	350.248	519	592791198937044460	592789456413370815	802
1	C19H36O4	[M + Na]+	C19H36NaO4+	Fatty acids	1.000	Glycerolipids	0.987	Monoacylglycerols	0.997	Lipids and lipid-like molecules	0.999	Glycerolipids	0.984	Monoradylglycerols	0.995	Monoacylglycerols	0.991	1-monoacylglycerols	0.917	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; 1-monoacylglycerols; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	351.251	518	592791256021522433	592789456472091076	804
20	C22H30N4	[M + H]+	C22H31N4+	Alkaloids	0.739	Pseudoalkaloids (transamidation)	0.297	Purine alkaloids	0.204	Organoheterocyclic compounds	0.954	Diazines	0.759	Pyrimidines and pyrimidine derivatives	0.771	Aminopyrimidines and derivatives	0.658	Aminopyrimidines and derivatives	0.658	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	351.253	524	592791244067755926	592789456530811337	805
23	C22H30N4	[M + H]+	C22H31N4+	Alkaloids	0.726	Pseudoalkaloids (transamidation)	0.340	Purine alkaloids	0.235	Organoheterocyclic compounds	0.963	Diazines	0.756	Pyrimidines and pyrimidine derivatives	0.763	Aminopyrimidines and derivatives	0.632	Aminopyrimidines and derivatives	0.632	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	351.253	570	592791729227099300	592789456589531598	806
1	C19H36O4	[M + Na]+	C19H36NaO4+	Fatty acids	0.999	Glycerolipids	0.915	Monoacylglycerols	0.962	Lipids and lipid-like molecules	0.996	Fatty Acyls	0.985	Lineolic acids and derivatives	0.572			Lineolic acids and derivatives	0.572	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Lineolic acids and derivatives; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; Fatty alcohols; 1-monoacylglycerols; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Long-chain fatty alcohols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	351.253	559	592791447692828511	592789456652446163	807
17	C17H34N6O4	[M - H4O2 + H]+	C17H31N6O2+	Amino acids and Peptides	0.513	Small peptides	0.562	Dipeptides	0.273	Organic acids and derivatives	0.895	Carboxylic acids and derivatives	0.840	Amino acids, peptides, and analogues	0.590	Amino acids and derivatives	0.585	Amino acids and derivatives	0.585	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	351.253	592	592791887218144692	592789456711166424	808
18	C15H33NO10	[M - H4O2 + H]+	C15H30NO8+	Alkaloids	0.241	Tyrosine alkaloids	0.060	Phenylethylamines	0.072	Benzenoids	0.723	Benzene and substituted derivatives	0.773					Benzene and substituted derivatives	0.773	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	352.194	420	592790944485393747	592789456786663901	811
2	C26H27NO	[M - H2O + H]+	C26H26N+	Alkaloids	0.484	Tryptophan alkaloids	0.555	Carbazole alkaloids	0.383	Organoheterocyclic compounds	0.997	Indoles and derivatives	0.980	Naphthoylindoles	0.915			Naphthoylindoles	0.915	Organic compounds; Organoheterocyclic compounds; Naphthalenes; Pyrroles; Ketones; Indoles and derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzoylindoles; Carbonyl compounds; Naphthalenecarboxylic acids and derivatives; Indolecarboxylic acids and derivatives; Naphthoylindoles; Substituted pyrroles; Benzenoids; Indoles; Aryl ketones; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; N-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	352.206	732	592793400837613633	592789456862161378	812
24	C13H27N4O4P	[M + H3N + H]+	C13H31N5O4P+	Carbohydrates	0.485	Nucleosides	0.615	Purine nucleosides	0.058	Organoheterocyclic compounds	0.919	Diazines	0.569	Pyrimidines and pyrimidine derivatives	0.680	Aminopyrimidines and derivatives	0.732	Aminopyrimidines and derivatives	0.732	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	352.212	386	592790523696035282	592789456920881639	813
17	C16H33NO5S	[M + H]+	C16H34NO5S+	Alkaloids	0.342	Tyrosine alkaloids	0.080	Leukotrienes	0.143	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.871	Amino acids, peptides, and analogues	0.869	Amino acids and derivatives	0.869	L-alpha-amino acids	0.502	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Benzenoids; Amines; Primary amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	352.212	289	592790312739310802	592789456992184812	814
15	C18H37N7	[M + H]+	C18H38N7+	Alkaloids	0.870	Guanidine alkaloids	0.815	Tricyclic guanidine alkaloids	0.565	Organoheterocyclic compounds	0.594	Triazines	0.443	1,3,5-triazines	0.534			1,3,5-triazines	0.534	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Guanidines; 1,3,5-triazines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	352.321	670	592792878269275498	592789457055099377	815
17	C20H36N2OS	[M + H]+	C20H37N2OS+	Alkaloids	0.841	Pseudoalkaloids (transamidation)	0.418	Tropane alkaloids	0.409	Organoheterocyclic compounds	0.969	Piperidines	0.634					Piperidines	0.634	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	353.259	473	592791062865431212	592789457118013942	816
20	C22H32N4	[M + H]+	C22H33N4+	Alkaloids	0.843	Pseudoalkaloids (transamidation)	0.277	Tricyclic guanidine alkaloids	0.209	Organoheterocyclic compounds	0.966	Diazines	0.568	Pyrimidines and pyrimidine derivatives	0.639			Pyrimidines and pyrimidine derivatives	0.639	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	353.269	607	592791813406781487	592789457180928507	817
20	C22H32N4	[M + H]+	C22H33N4+	Alkaloids	0.889	Pseudoalkaloids (transamidation)	0.395	Purine alkaloids	0.201	Organoheterocyclic compounds	0.964	Diazines	0.506	Pyrimidines and pyrimidine derivatives	0.576			Pyrimidines and pyrimidine derivatives	0.576	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	353.269	597	592791878284277013	592789457248037376	818
20	C22H32N4	[M + H]+	C22H33N4+	Alkaloids	0.846	Pseudoalkaloids (transamidation)	0.278	Tricyclic guanidine alkaloids	0.205	Organoheterocyclic compounds	0.966	Diazines	0.568	Pyrimidines and pyrimidine derivatives	0.638			Pyrimidines and pyrimidine derivatives	0.638	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	353.269	559	592791476977459629	592789457306757637	819
19	C22H29N3	[M + H3N + H]+	C22H33N4+	Alkaloids	0.910	Pseudoalkaloids (transamidation)	0.506	Simple indole alkaloids	0.087	Lipids and lipid-like molecules	0.526							Lipids and lipid-like molecules	0.526	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organonitrogen compounds; Azoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	353.269	546	592791554710496315	592789457361283594	820
25	C14H27NO9	[M + H]+	C14H28NO9+	Amino acids and Peptides	0.756	Amino acid glycosides	0.720	Cyanogenic glycosides	0.654	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.931	Monosaccharides	0.843	Hexoses	0.554	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	354.173	417	592790933873804561	592789457474529812	823
