formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C22H28N2O2	[M - H2O + H]+	C22H27N2O+	Alkaloids	0.955	Tryptophan alkaloids	0.982	Simple indole alkaloids	0.405	Organoheterocyclic compounds	0.998	Indoles and derivatives	0.981	Indoles	0.977	3-alkylindoles	0.942	3-alkylindoles	0.942	Organic compounds; Organoheterocyclic compounds; Pyrroles; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Tertiary carboxylic acid amides; Carbonyl compounds; Substituted pyrroles; Benzenoids; Amines; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	335.212	429	592790991264466414	592789449991890901	698
1	C20H35NO4	[M - H2O + H]+	C20H34NO3+	Fatty acids	0.427	Fatty amides	0.278	N-acyl amines	0.174	Lipids and lipid-like molecules	0.787	Fatty Acyls	0.768	Fatty amides	0.643	N-acyl amines	0.644	N-acyl amines	0.644	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.253	469	592791045282908419	592789450931415062	712
1	C20H35NO4	[M - H2O + H]+	C20H34NO3+	Fatty acids	0.879	Fatty amides	0.502	N-acyl amines	0.104	Lipids and lipid-like molecules	0.844	Fatty Acyls	0.823	Fatty amides	0.739	N-acyl amines	0.708	N-acyl amines	0.708	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.253	498	592791334488562332	592789450998523931	713
1	C22H38O	[M + H3N + H]+	C22H42NO+	Fatty acids	0.936	Fatty acyls	0.767	Fatty alcohols	0.164	Lipids and lipid-like molecules	0.869	Fatty Acyls	0.648					Fatty Acyls	0.648	Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	336.326	706	592792974939594789	592789451065632800	714
1	C22H40O	[M + H3N + H]+	C22H44NO+	Fatty acids	0.999	Fatty acyls	0.962	Fatty alcohols	0.385	Lipids and lipid-like molecules	0.732	Fatty Acyls	0.753					Fatty Acyls	0.753	Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	338.342	732	592793393782794238	592789451979991142	729
1	C23H35NO2	[M - H2O + H]+	C23H34NO+	Alkaloids	0.935	Pseudoalkaloids (transamidation)	0.959	Phenylalanine-derived alkaloids	0.516	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.959	Aralkylamines	0.833	Aralkylamines	0.833	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Dialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Alkanolamines; Aromatic alcohols; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	340.263	506	592791150081790428	592789452231649402	733
1	C21H38O2	[M + H3N + H]+	C21H42NO2+	Fatty acids	0.798	Fatty esters	0.397	Fatty alcohols	0.441	Lipids and lipid-like molecules	0.848	Fatty Acyls	0.776					Fatty Acyls	0.776	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	340.321	517	592791208474891897	592789452294563967	734
1	C21H33NO5	[M - H4O2 + H]+	C21H30NO3+	Amino acids and Peptides	0.698	Linear polyketides	0.626	Open-chain polyketides	0.435	Lipids and lipid-like molecules	0.655	Fatty Acyls	0.541					Fatty Acyls	0.541	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	344.222	446	592791046373427506	592789453531883742	756
1	C20H38O3	[M + H3N + H]+	C20H42NO3+	Fatty acids	0.951	Fatty acyls	0.380	Fatty alcohols	0.598	Lipids and lipid-like molecules	0.898	Fatty Acyls	0.842	Fatty alcohols	0.564	Long-chain fatty alcohols	0.549	Long-chain fatty alcohols	0.549	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Long-chain fatty alcohols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	344.316	562	592791477367529927	592789453913565436	762
1	C21H42O2	[M + H3N + H]+	C21H46NO2+	Fatty acids	0.993	Glycerolipids	0.993	Monoacylglycerols	0.970	Lipids and lipid-like molecules	0.885	Glycerolipids	0.973	Monoradylglycerols	0.568	Monoalkylglycerols	0.740	1-O-alkylglycerols	0.653	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Glycerol ethers; Monoalkylglycerols; Monoradylglycerols; Hydrocarbon derivatives; 1-O-alkylglycerols; Organic oxygen compounds; Chemical entities	344.352	620	592791950409530052	592789453976480001	763
1	C21H45NO2	[M + H]+	C21H46NO2+	Fatty acids	0.886	Spingolipids	0.309	Sphingoid bases	0.753	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	1.000	Alkanolamines	0.973	1,2-aminoalcohols	0.970	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	344.352	555	592791399911316581	592789454043588870	764
1	C21H31NO3	[M + H]+	C21H32NO3+	Alkaloids	0.609	Pseudoalkaloids (transamidation)	0.407	Open-chain polyketides	0.313	Benzenoids	0.624	Benzene and substituted derivatives	0.596					Benzene and substituted derivatives	0.596	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	346.238	433	592790763283069710	592789454446242084	770
1	C21H35NO2S	[M - H2O + H]+	C21H34NOS+	Amino acids and Peptides	0.280	Linear polyketides	0.368	Open-chain polyketides	0.418	Lipids and lipid-like molecules	0.654	Fatty Acyls	0.507					Fatty Acyls	0.507	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Thioethers; Carbonyl compounds; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	348.235	479	592791118926499528	592789455062804822	780
1	C21H35NO4	[M - H2O + H]+	C21H34NO3+	Fatty acids	0.537	Fatty amides	0.201	Open-chain polyketides	0.067	Lipids and lipid-like molecules	0.773	Fatty Acyls	0.794	Fatty amides	0.709	N-acyl amines	0.715	N-acyl amines	0.715	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	348.253	462	592791058247502351	592789455125719387	781
1	C18H30O5	[M + Na]+	C18H30NaO5+	Fatty acids	0.414	Cyclic polyketides	0.369	3-Spirotetramic acids	0.800	Lipids and lipid-like molecules	0.859	Fatty Acyls	0.825	Fatty acid esters	0.641	Fatty acid methyl esters	0.581	Fatty acid methyl esters	0.581	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty acid methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	349.199	550	592791486695662214	592789455192828256	782
1	C23H30N2O2	[M - H2O + H]+	C23H29N2O+	Alkaloids	0.840	Tryptophan alkaloids	0.853	Simple indole alkaloids	0.420	Organoheterocyclic compounds	0.990	Indoles and derivatives	0.968	Indoles	0.964	3-alkylindoles	0.929	3-alkylindoles	0.929	Organic compounds; Organoheterocyclic compounds; Pyrroles; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	349.227	428	592790926579909855	592789455440292212	786
1	C24H33NO2	[M - H2O + H]+	C24H32NO+	Alkaloids	0.786	Pseudoalkaloids (transamidation)	0.795	Piperidine alkaloids	0.450	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.943	Aralkylamines	0.799	Aralkylamines	0.799	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Alkanolamines; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	350.248	519	592791198937044460	592789456413370815	802
1	C19H36O4	[M + Na]+	C19H36NaO4+	Fatty acids	1.000	Glycerolipids	0.987	Monoacylglycerols	0.997	Lipids and lipid-like molecules	0.999	Glycerolipids	0.984	Monoradylglycerols	0.995	Monoacylglycerols	0.991	1-monoacylglycerols	0.917	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; 1-monoacylglycerols; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	351.251	518	592791256021522433	592789456472091076	804
1	C19H36O4	[M + Na]+	C19H36NaO4+	Fatty acids	0.999	Glycerolipids	0.915	Monoacylglycerols	0.962	Lipids and lipid-like molecules	0.996	Fatty Acyls	0.985	Lineolic acids and derivatives	0.572			Lineolic acids and derivatives	0.572	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Lineolic acids and derivatives; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; Fatty alcohols; 1-monoacylglycerols; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Long-chain fatty alcohols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	351.253	559	592791447692828511	592789456652446163	807
1	C26H29NO2	[M - H4O2 + H]+	C26H26N+	Alkaloids	0.451	Tryptophan alkaloids	0.711	Carbazole alkaloids	0.506	Benzenoids	0.992	Naphthalenes	0.648					Naphthalenes	0.648	Organic compounds; Organoheterocyclic compounds; Naphthalenes; Pyrroles; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	352.206	732	592793400837613631	592789456862161378	812
1	C22H40O2	[M + H3N + H]+	C22H44NO2+	Fatty acids	0.965	Fatty acyls	0.377	Fatty alcohols	0.475	Lipids and lipid-like molecules	0.858	Fatty Acyls	0.871	Fatty alcohols	0.535			Fatty alcohols	0.535	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Fatty alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	354.337	534	592791457377476601	592789457768131117	828
1	C22H45NO2	[M + H]+	C22H46NO2+	Fatty acids	0.926	Spingolipids	0.578	Sphingoid bases	0.929	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.999	Alkanolamines	0.992	1,2-aminoalcohols	0.995	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	356.353	565	592791744053964049	592789458284030549	837
1	C22H47NO2	[M + H]+	C22H48NO2+	Fatty acids	0.900	Spingolipids	0.475	Sphingoid bases	0.888	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	1.000	Alkanolamines	0.992	1,2-aminoalcohols	0.992	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	358.368	599	592791760617270719	592789458854455918	843
1	C22H44O2	[M + H3N + H]+	C22H48NO2+	Fatty acids	0.638	Aromatic polyketides	0.382	Fatty alcohols	0.611	Lipids and lipid-like molecules	0.700	Fatty Acyls	0.490	Fatty alcohols	0.565			Fatty alcohols	0.565	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organooxygen compounds; Fatty alcohols; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	358.368	631	592792111210758611	592789458913176179	844
1	C25H35NO2	[M - H2O + H]+	C25H34NO+	Alkaloids	0.871	Pseudoalkaloids (transamidation)	0.806	Piperidine alkaloids	0.440	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.974	Aralkylamines	0.861	Aralkylamines	0.861	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Tertiary amines; Alkanolamines; Aromatic alcohols; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	364.263	508	592791147045114159	592789461106797346	881
1	C22H34O3	[M + H3N + H]+	C22H38NO3+	Fatty acids	0.984	Eicosanoids	0.476	Monoacylglycerols	0.252	Lipids and lipid-like molecules	0.965	Fatty Acyls	0.894					Fatty Acyls	0.894	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	364.285	532	592791176182944794	592789461165517607	882
1	C16H24O8	[M + Na]+	C16H24NaO8+	Shikimates and Phenylpropanoids	0.448	Aromatic polyketides	0.348	Simple aromatic polyketides	0.297	Benzenoids	0.607	Phenols	0.580					Phenols	0.580	Organic compounds; Alcohols and polyols; Phenols; Ethers; Primary alcohols; Organooxygen compounds; Secondary alcohols; Polyols; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	367.136	444	592790914798109764	592789461761108825	893
1	C27H48O2	[M - H4O2 + H]+	C27H45+	Terpenoids	0.998	Steroids	0.996	Cholestane steroids	0.885	Lipids and lipid-like molecules	0.998	Steroids and steroid derivatives	0.996	Cholestane steroids	0.519	Cholesterols and derivatives	0.549	Cholesterols and derivatives	0.549	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Cholesterols and derivatives; Secondary alcohols; 3-hydroxy delta-5-steroids; Delta-5-steroids; 3-hydroxysteroids; Cholestane steroids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	369.352	760	592793442289920420	592789462121818999	899
1	C23H50N2O2	[M - H2O + H]+	C23H49N2O+	Fatty acids	0.999	Fatty amides	0.968	N-acyl amines	0.740	Lipids and lipid-like molecules	0.935	Fatty Acyls	0.921	Fatty amides	0.886	N-acyl amines	0.864	N-acyl amines	0.864	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	369.384	602	592791765465886279	592789462180539260	900
1	C23H49NO3	[M - H2O + H]+	C23H48NO2+	Fatty acids	0.996	Spingolipids	0.948	Sphingoid bases	0.993	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.993	Alkanolamines	0.986	1,2-aminoalcohols	0.985	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	370.368	567	592791665742113037	592789462369282955	903
1	C21H39NO3	[M + H3N + H]+	C21H43N2O3+	Fatty acids	1.000	Fatty amides	0.999	N-acyl amines	0.953	Lipids and lipid-like molecules	0.982	Fatty Acyls	0.977	Fatty amides	0.923	N-acyl amines	0.923	N-acyl amines	0.923	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Straight chain fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	371.327	533	592791175503467491	592789462545443738	907
1	C22H42O3	[M + H3N + H]+	C22H46NO3+	Fatty acids	0.997	Fatty Acids and Conjugates	0.716	Unsaturated fatty acids	0.262	Lipids and lipid-like molecules	0.966	Fatty Acyls	0.962	Fatty acids and conjugates	0.729	Long-chain fatty acids	0.754	Long-chain fatty acids	0.754	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	372.347	626	592791973830524070	592789462981651389	914
1	C23H46O2	[M + H3N + H]+	C23H50NO2+	Fatty acids	0.993	Glycerolipids	0.759	Monoacylglycerols	0.581	Lipids and lipid-like molecules	0.939	Glycerolipids	0.683					Glycerolipids	0.683	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	372.384	653	592792411837501017	592789463040371650	915
1	C22H33N3O	[M + H3N + H]+	C22H37N4O+	Alkaloids	0.817	Tryptophan alkaloids	0.750	Carboline alkaloids	0.068	Organoheterocyclic compounds	0.903	Diazinanes	0.533	Piperazines	0.547	N-alkylpiperazines	0.538	N-alkylpiperazines	0.538	Organic compounds; Organoheterocyclic compounds; Piperazines; Organonitrogen compounds; Organooxygen compounds; Trialkylamines; Diazinanes; Benzenoids; Amines; Tertiary amines; N-alkylpiperazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	373.296	346	592790156224646550	592789463099091911	916
1	C21H45NO5	[M - H2O + H]+	C21H44NO4+	Fatty acids	1.000	Spingolipids	0.998	Sphingoid bases	0.997	Lipids and lipid-like molecules	0.915	Fatty Acyls	0.873					Fatty Acyls	0.873	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Secondary alcohols; 1,2-aminoalcohols; Amines; Primary amines; Alkanolamines; Fatty Acyls; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	374.327	518	592791174584914848	592789463329778651	920
1	C18H19NO9	[M - H2O + H]+	C18H18NO8+	Alkaloids	0.645	Tyrosine alkaloids	0.377	Phenylethylamines	0.139	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.977	Amino acids and derivatives	0.977	N-acyl-alpha amino acids	0.510	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Catechols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; N-acyl-alpha amino acids; Alpha amino acids; Benzenoids; Amines; Phenylpropanoic acids; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	376.103	153	592790084992773063	592789463724043262	927
1	C23H37NO3	[M + H]+	C23H38NO3+	Alkaloids	0.965	Pseudoalkaloids (transamidation)	0.984	Cytochalasan alkaloids	0.960	Alkaloids and derivatives	0.723	Cytochalasans	0.793					Cytochalasans	0.793	Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Pyrrolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Pyrrolidones; Dialkyl ethers; Secondary alcohols; Secondary carboxylic acid amides; Isoindoles and derivatives; Isoindolones; Cytochalasans; Carbonyl compounds; Isoindolines; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	376.285	612	592791767206522471	592789464118307873	934
1	C17H23O5P	[M + K]+	C17H23KO5P+	Terpenoids	0.165	Monoterpenoids	0.067	Menthane monoterpenoids	0.003	Benzenoids	0.883	Benzene and substituted derivatives	0.830					Benzene and substituted derivatives	0.830	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	377.092	607	592791882684101942	592789464239942699	936
1	C25H34N2O2	[M - H2O + H]+	C25H33N2O+	Alkaloids	0.685	Tryptophan alkaloids	0.842	Simple indole alkaloids	0.553	Organoheterocyclic compounds	0.994	Indoles and derivatives	0.983	Indoles	0.983	3-alkylindoles	0.933	3-alkylindoles	0.933	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrroles; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.259	478	592791142431379576	592789464353188917	938
1	C21H38O4	[M + Na]+	C21H38NaO4+	Fatty acids	0.999	Glycerolipids	0.991	Monoacylglycerols	0.997	Lipids and lipid-like molecules	0.999	Glycerolipids	0.989	Monoradylglycerols	0.995	Monoacylglycerols	0.991	1-monoacylglycerols	0.866	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; 1-monoacylglycerols; 2-monoacylglycerols; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	377.269	601	592791852287980410	592789464411909178	939
